"searchedTranscript","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression","notGene"
"ENST00000206765","TGM1","ENSG00000092295
","The protein encoded by this gene is a membrane protein that catalyzes the addition of an alkyl group from an akylamine to a glutamine residue of a protein, forming an alkylglutamine in the protein. This protein alkylation leads to crosslinking of proteins and catenation of polyamines to proteins. This gene contains either one or two copies of a 22 nt repeat unit in its 3' UTR. Mutations in this gene have been associated with autosomal recessive lamellar ichthyosis (LI) and nonbullous congenital ichthyosiform erythroderma (NCIE). [provided by RefSeq, Jul 2008]","                                            TGM1 (Transglutaminase 1) is a Protein Coding gene.                                            Diseases associated with TGM1 include Ichthyosis, Congenital, Autosomal Recessive 1 and Autosomal Recessive Congenital Ichthyosis.                                            Among its related pathways are Keratinization and Developmental Biology.                                            Gene Ontology (GO) annotations related to this gene include protein-glutamine gamma-glutamyltransferase activity.                                            An important paralog of this gene is F13A1.","Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins. Responsible for cross-linking epidermal proteins during formation of the stratum corneum. Involved in cell proliferation (PubMed:26220141).
                         TGM1_HUMAN,P22735
                         ","Mon Dec 07 10:23:08 2020",0.36,0.63,0.63,1.12,0.42,0.35,0.22,0.35,0,0.46,0.14,0.28,0.25,0.09,0.07,0.12,0.26,0.21,0.07,0.27,0.45,0.17,0.39,-0.28,FALSE
"ENST00000228264","DDX11","ENSG00000013573
","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]","                                            DDX11 (DEAD/H-Box Helicase 11) is a Protein Coding gene.                                            Diseases associated with DDX11 include Warsaw Breakage Syndrome and Roberts Syndrome.                                            Among its related pathways are Unfolded Protein Response (UPR) and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and double-stranded DNA binding.                                            An important paralog of this gene is BRIP1.","DNA-dependent ATPase and ATP-dependent DNA helicase that participates in various functions in genomic stability, including DNA replication, DNA repair and heterochromatin organization as well as in ribosomal RNA synthesis (PubMed:10648783, PubMed:21854770, PubMed:23797032, PubMed:26089203, PubMed:26503245). Its double-stranded DNA helicase activity requires either a minimal 5'-single-stranded tail length of approximately 15 nt (flap substrates) or 10 nt length single-stranded gapped DNA substrates of a partial duplex DNA structure for helicase loading and translocation along DNA in a 5' to 3' direction (PubMed:18499658, PubMed:22102414). The helicase activity is capable of displacing duplex regions up to 100 bp, which can be extended up to 500 bp by the replication protein A (RPA) or the cohesion CTF18-replication factor C (Ctf18-RFC) complex activities (PubMed:18499658). Shows also ATPase- and helicase activities on substrates that mimic key DNA intermediates of replication, repair and homologous recombination reactions, including forked duplex, anti-parallel G-quadruplex and three-stranded D-loop DNA molecules (PubMed:22102414, PubMed:26503245). Plays a role in DNA double-strand break (DSB) repair at the DNA replication fork during DNA replication recovery from DNA damage (PubMed:23797032). Recruited with TIMELESS factor upon DNA-replication stress response at DNA replication fork to preserve replication fork progression, and hence ensure DNA replication fidelity (PubMed:26503245). Cooperates also with TIMELESS factor during DNA replication to regulate proper sister chromatid cohesion and mitotic chromosome segregation (PubMed:17105772, PubMed:18499658, PubMed:20124417, PubMed:23116066, PubMed:23797032). Stimulates 5'-single-stranded DNA flap endonuclease activity of FEN1 in an ATP- and helicase-independent manner; and hence it may contribute in Okazaki fragment processing at DNA replication fork during lagging strand DNA synthesis (PubMed:18499658). Its ability to function at DNA replication fork is modulated by its binding to long non-coding RNA (lncRNA) cohesion regulator non-coding RNA DDX11-AS1/CONCR, which is able to increase both DDX11 ATPase activity and binding to DNA replicating regions (PubMed:27477908). Plays also a role in heterochromatin organization (PubMed:21854770). Involved in rRNA transcription activation through binding to active hypomethylated rDNA gene loci by recruiting UBTF and the RNA polymerase Pol I transcriptional machinery (PubMed:26089203). Plays a role in embryonic development and prevention of aneuploidy (By similarity). Involved in melanoma cell proliferation and survival (PubMed:23116066). Associates with chromatin at DNA replication fork regions (PubMed:27477908). Binds to single- and double-stranded DNAs (PubMed:9013641, PubMed:18499658, PubMed:22102414).
                         DDX11_HUMAN,Q96FC9
                         ","Mon Dec 07 10:22:38 2020",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12,FALSE
"ENST00000228264","DDX11","ENSG00000013573
","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]","                                            DDX11 (DEAD/H-Box Helicase 11) is a Protein Coding gene.                                            Diseases associated with DDX11 include Warsaw Breakage Syndrome and Roberts Syndrome.                                            Among its related pathways are Unfolded Protein Response (UPR) and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and double-stranded DNA binding.                                            An important paralog of this gene is BRIP1.","DNA-dependent ATPase and ATP-dependent DNA helicase that participates in various functions in genomic stability, including DNA replication, DNA repair and heterochromatin organization as well as in ribosomal RNA synthesis (PubMed:10648783, PubMed:21854770, PubMed:23797032, PubMed:26089203, PubMed:26503245). Its double-stranded DNA helicase activity requires either a minimal 5'-single-stranded tail length of approximately 15 nt (flap substrates) or 10 nt length single-stranded gapped DNA substrates of a partial duplex DNA structure for helicase loading and translocation along DNA in a 5' to 3' direction (PubMed:18499658, PubMed:22102414). The helicase activity is capable of displacing duplex regions up to 100 bp, which can be extended up to 500 bp by the replication protein A (RPA) or the cohesion CTF18-replication factor C (Ctf18-RFC) complex activities (PubMed:18499658). Shows also ATPase- and helicase activities on substrates that mimic key DNA intermediates of replication, repair and homologous recombination reactions, including forked duplex, anti-parallel G-quadruplex and three-stranded D-loop DNA molecules (PubMed:22102414, PubMed:26503245). Plays a role in DNA double-strand break (DSB) repair at the DNA replication fork during DNA replication recovery from DNA damage (PubMed:23797032). Recruited with TIMELESS factor upon DNA-replication stress response at DNA replication fork to preserve replication fork progression, and hence ensure DNA replication fidelity (PubMed:26503245). Cooperates also with TIMELESS factor during DNA replication to regulate proper sister chromatid cohesion and mitotic chromosome segregation (PubMed:17105772, PubMed:18499658, PubMed:20124417, PubMed:23116066, PubMed:23797032). Stimulates 5'-single-stranded DNA flap endonuclease activity of FEN1 in an ATP- and helicase-independent manner; and hence it may contribute in Okazaki fragment processing at DNA replication fork during lagging strand DNA synthesis (PubMed:18499658). Its ability to function at DNA replication fork is modulated by its binding to long non-coding RNA (lncRNA) cohesion regulator non-coding RNA DDX11-AS1/CONCR, which is able to increase both DDX11 ATPase activity and binding to DNA replicating regions (PubMed:27477908). Plays also a role in heterochromatin organization (PubMed:21854770). Involved in rRNA transcription activation through binding to active hypomethylated rDNA gene loci by recruiting UBTF and the RNA polymerase Pol I transcriptional machinery (PubMed:26089203). Plays a role in embryonic development and prevention of aneuploidy (By similarity). Involved in melanoma cell proliferation and survival (PubMed:23116066). Associates with chromatin at DNA replication fork regions (PubMed:27477908). Binds to single- and double-stranded DNAs (PubMed:9013641, PubMed:18499658, PubMed:22102414).
                         DDX11_HUMAN,Q96FC9
                         ","Mon Dec 07 10:23:20 2020",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12,FALSE
"ENST00000228264","DDX11","ENSG00000013573
","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]","                                            DDX11 (DEAD/H-Box Helicase 11) is a Protein Coding gene.                                            Diseases associated with DDX11 include Warsaw Breakage Syndrome and Roberts Syndrome.                                            Among its related pathways are Unfolded Protein Response (UPR) and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and double-stranded DNA binding.                                            An important paralog of this gene is BRIP1.","DNA-dependent ATPase and ATP-dependent DNA helicase that participates in various functions in genomic stability, including DNA replication, DNA repair and heterochromatin organization as well as in ribosomal RNA synthesis (PubMed:10648783, PubMed:21854770, PubMed:23797032, PubMed:26089203, PubMed:26503245). Its double-stranded DNA helicase activity requires either a minimal 5'-single-stranded tail length of approximately 15 nt (flap substrates) or 10 nt length single-stranded gapped DNA substrates of a partial duplex DNA structure for helicase loading and translocation along DNA in a 5' to 3' direction (PubMed:18499658, PubMed:22102414). The helicase activity is capable of displacing duplex regions up to 100 bp, which can be extended up to 500 bp by the replication protein A (RPA) or the cohesion CTF18-replication factor C (Ctf18-RFC) complex activities (PubMed:18499658). Shows also ATPase- and helicase activities on substrates that mimic key DNA intermediates of replication, repair and homologous recombination reactions, including forked duplex, anti-parallel G-quadruplex and three-stranded D-loop DNA molecules (PubMed:22102414, PubMed:26503245). Plays a role in DNA double-strand break (DSB) repair at the DNA replication fork during DNA replication recovery from DNA damage (PubMed:23797032). Recruited with TIMELESS factor upon DNA-replication stress response at DNA replication fork to preserve replication fork progression, and hence ensure DNA replication fidelity (PubMed:26503245). Cooperates also with TIMELESS factor during DNA replication to regulate proper sister chromatid cohesion and mitotic chromosome segregation (PubMed:17105772, PubMed:18499658, PubMed:20124417, PubMed:23116066, PubMed:23797032). Stimulates 5'-single-stranded DNA flap endonuclease activity of FEN1 in an ATP- and helicase-independent manner; and hence it may contribute in Okazaki fragment processing at DNA replication fork during lagging strand DNA synthesis (PubMed:18499658). Its ability to function at DNA replication fork is modulated by its binding to long non-coding RNA (lncRNA) cohesion regulator non-coding RNA DDX11-AS1/CONCR, which is able to increase both DDX11 ATPase activity and binding to DNA replicating regions (PubMed:27477908). Plays also a role in heterochromatin organization (PubMed:21854770). Involved in rRNA transcription activation through binding to active hypomethylated rDNA gene loci by recruiting UBTF and the RNA polymerase Pol I transcriptional machinery (PubMed:26089203). Plays a role in embryonic development and prevention of aneuploidy (By similarity). Involved in melanoma cell proliferation and survival (PubMed:23116066). Associates with chromatin at DNA replication fork regions (PubMed:27477908). Binds to single- and double-stranded DNAs (PubMed:9013641, PubMed:18499658, PubMed:22102414).
                         DDX11_HUMAN,Q96FC9
                         ","Mon Dec 07 10:22:17 2020",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12,FALSE
"ENST00000228264","DDX11","ENSG00000013573
","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]","                                            DDX11 (DEAD/H-Box Helicase 11) is a Protein Coding gene.                                            Diseases associated with DDX11 include Warsaw Breakage Syndrome and Roberts Syndrome.                                            Among its related pathways are Unfolded Protein Response (UPR) and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and double-stranded DNA binding.                                            An important paralog of this gene is BRIP1.","DNA-dependent ATPase and ATP-dependent DNA helicase that participates in various functions in genomic stability, including DNA replication, DNA repair and heterochromatin organization as well as in ribosomal RNA synthesis (PubMed:10648783, PubMed:21854770, PubMed:23797032, PubMed:26089203, PubMed:26503245). Its double-stranded DNA helicase activity requires either a minimal 5'-single-stranded tail length of approximately 15 nt (flap substrates) or 10 nt length single-stranded gapped DNA substrates of a partial duplex DNA structure for helicase loading and translocation along DNA in a 5' to 3' direction (PubMed:18499658, PubMed:22102414). The helicase activity is capable of displacing duplex regions up to 100 bp, which can be extended up to 500 bp by the replication protein A (RPA) or the cohesion CTF18-replication factor C (Ctf18-RFC) complex activities (PubMed:18499658). Shows also ATPase- and helicase activities on substrates that mimic key DNA intermediates of replication, repair and homologous recombination reactions, including forked duplex, anti-parallel G-quadruplex and three-stranded D-loop DNA molecules (PubMed:22102414, PubMed:26503245). Plays a role in DNA double-strand break (DSB) repair at the DNA replication fork during DNA replication recovery from DNA damage (PubMed:23797032). Recruited with TIMELESS factor upon DNA-replication stress response at DNA replication fork to preserve replication fork progression, and hence ensure DNA replication fidelity (PubMed:26503245). Cooperates also with TIMELESS factor during DNA replication to regulate proper sister chromatid cohesion and mitotic chromosome segregation (PubMed:17105772, PubMed:18499658, PubMed:20124417, PubMed:23116066, PubMed:23797032). Stimulates 5'-single-stranded DNA flap endonuclease activity of FEN1 in an ATP- and helicase-independent manner; and hence it may contribute in Okazaki fragment processing at DNA replication fork during lagging strand DNA synthesis (PubMed:18499658). Its ability to function at DNA replication fork is modulated by its binding to long non-coding RNA (lncRNA) cohesion regulator non-coding RNA DDX11-AS1/CONCR, which is able to increase both DDX11 ATPase activity and binding to DNA replicating regions (PubMed:27477908). Plays also a role in heterochromatin organization (PubMed:21854770). Involved in rRNA transcription activation through binding to active hypomethylated rDNA gene loci by recruiting UBTF and the RNA polymerase Pol I transcriptional machinery (PubMed:26089203). Plays a role in embryonic development and prevention of aneuploidy (By similarity). Involved in melanoma cell proliferation and survival (PubMed:23116066). Associates with chromatin at DNA replication fork regions (PubMed:27477908). Binds to single- and double-stranded DNAs (PubMed:9013641, PubMed:18499658, PubMed:22102414).
                         DDX11_HUMAN,Q96FC9
                         ","Mon Dec 07 10:22:35 2020",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12,FALSE
"ENST00000228468","ASIC1","ENSG00000110881
","This gene encodes a member of the acid-sensing ion channel (ASIC) family of proteins, which are part of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. Members of the ASIC family are sensitive to amiloride and function in neurotransmission. The encoded proteins function in learning, pain transduction, touch sensation, and development of memory and fear. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]","                                            ASIC1 (Acid Sensing Ion Channel Subunit 1) is a Protein Coding gene.                                            Diseases associated with ASIC1 include Brain Injury and Frozen Shoulder.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Ion channel transport.                                            Gene Ontology (GO) annotations related to this gene include cation channel activity and ligand-gated sodium channel activity.                                            An important paralog of this gene is ASIC2.","Isoform 2 and isoform 3 function as proton-gated sodium channels; they are activated by a drop of the extracellular pH and then become rapidly desensitized. The channel generates a biphasic current with a fast inactivating and a slow sustained phase. Has high selectivity for sodium ions and can also transport lithium ions with high efficiency. Isoform 2 can also transport potassium, but with lower efficiency. It is nearly impermeable to the larger rubidium and cesium ions. Isoform 3 can also transport calcium ions. Mediates glutamate-independent Ca(2+) entry into neurons upon acidosis. This Ca(2+) overloading is toxic for cortical neurons and may be in part responsible for ischemic brain injury. Heteromeric channel assembly seems to modulate channel properties. Functions as a postsynaptic proton receptor that influences intracellular Ca(2+) concentration and calmodulin-dependent protein kinase II phosphorylation and thereby the density of dendritic spines. Modulates activity in the circuits underlying innate fear.
                         ASIC1_HUMAN,P78348
                         ","Mon Dec 07 10:24:39 2020",0.14,0.07,0.21,0,0.42,0.19,0.52,0,0.7,0.28,0,0.07,0.06,0.14,0,0.32,0.09,0.07,0.25,0,0.25,0.1,0.41,-0.15,FALSE
"ENST00000228468","ASIC1","ENSG00000110881
","This gene encodes a member of the acid-sensing ion channel (ASIC) family of proteins, which are part of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. Members of the ASIC family are sensitive to amiloride and function in neurotransmission. The encoded proteins function in learning, pain transduction, touch sensation, and development of memory and fear. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]","                                            ASIC1 (Acid Sensing Ion Channel Subunit 1) is a Protein Coding gene.                                            Diseases associated with ASIC1 include Brain Injury and Frozen Shoulder.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Ion channel transport.                                            Gene Ontology (GO) annotations related to this gene include cation channel activity and ligand-gated sodium channel activity.                                            An important paralog of this gene is ASIC2.","Isoform 2 and isoform 3 function as proton-gated sodium channels; they are activated by a drop of the extracellular pH and then become rapidly desensitized. The channel generates a biphasic current with a fast inactivating and a slow sustained phase. Has high selectivity for sodium ions and can also transport lithium ions with high efficiency. Isoform 2 can also transport potassium, but with lower efficiency. It is nearly impermeable to the larger rubidium and cesium ions. Isoform 3 can also transport calcium ions. Mediates glutamate-independent Ca(2+) entry into neurons upon acidosis. This Ca(2+) overloading is toxic for cortical neurons and may be in part responsible for ischemic brain injury. Heteromeric channel assembly seems to modulate channel properties. Functions as a postsynaptic proton receptor that influences intracellular Ca(2+) concentration and calmodulin-dependent protein kinase II phosphorylation and thereby the density of dendritic spines. Modulates activity in the circuits underlying innate fear.
                         ASIC1_HUMAN,P78348
                         ","Mon Dec 07 10:24:24 2020",0.14,0.07,0.21,0,0.42,0.19,0.52,0,0.7,0.28,0,0.07,0.06,0.14,0,0.32,0.09,0.07,0.25,0,0.25,0.1,0.41,-0.15,FALSE
"ENST00000261172","EPYC","ENSG00000083782
","Dermatan sulfate proteoglycan 3 is a member of the small leucine-rich repeat proteoglycan family. This gene is composed of seven exons. It regulates fibrillogenesis by interacting with collagen fibrils and other extracellular matrix proteins. [provided by RefSeq, Jul 2008]","                                            EPYC (Epiphycan) is a Protein Coding gene.                                            Diseases associated with EPYC include Cornea Plana and Corneal Dystrophy, Posterior Amorphous.                                            Among its related pathways are Integrin Pathway and ERK Signaling.                                            Gene Ontology (GO) annotations related to this gene include glycosaminoglycan binding.                                            An important paralog of this gene is OGN.","May have a role in bone formation and also in establishing the ordered structure of cartilage through matrix organization.
                         EPYC_HUMAN,Q99645
                         ","Mon Dec 07 10:24:36 2020",0.19,0,0.92,0,0.37,0.71,0.2,0.39,0.65,0.26,0.15,0.15,0.08,0.61,0.2,0.21,0,0,0,0.32,0.38,0.17,0.45,-0.21,FALSE
"ENST00000293373","NCKAP1L","ENSG00000123338
","This gene encodes a member of the HEM family of tissue-specific transmembrane proteins which are highly conserved from invertebrates through mammals. This gene is only expressed in hematopoietic cells. The encoded protein is a part of the Scar/WAVE complex which plays an important role in regulating cell shape in both metazoans and plants. Alternatively spliced transcript variants encoding different isoforms have been found.[provided by RefSeq, May 2010]","                                            NCKAP1L (NCK Associated Protein 1 Like) is a Protein Coding gene.                                            Diseases associated with NCKAP1L include Bronchus Cancer and Bronchus Adenoma.                                            Among its related pathways are Signaling by GPCR and Pathogenic Escherichia coli infection.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity.                                            An important paralog of this gene is NCKAP1.","Essential hematopoietic-specific regulator of the actin cytoskeleton (Probable). Controls lymphocyte development, activation, proliferation and homeostasis, erythrocyte membrane stability, as well as phagocytosis and migration by neutrophils and macrophages (PubMed:16417406, PubMed:17696648). Component of the WAVE2 complex which signals downstream of RAC to stimulate F-actin polymerization. Required for stabilization and/or translation of the WAVE2 complex proteins in hematopoietic cells (By similarity). Exhibits complex cycles of activation and inhibition to generate waves of propagating the assembly with actin (PubMed:16417406). Also involved in mechanisms WAVE-independent to regulate myosin and actin polymerization during neutrophil chemotaxis (PubMed:17696648).
                         NCKPL_HUMAN,P55160
                         ","Mon Dec 07 10:24:06 2020",0.54,0,0,1.11,0,0.47,1.11,0.44,0.37,0.13,0.18,0,0.09,0.35,0,0.6,0.34,0.1,0.09,0.32,0.45,0.21,0.46,-0.24,FALSE
"ENST00000293874","PIGQ","ENSG00000007541
","This gene is involved in the first step in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This gene encodes a N-acetylglucosaminyl transferase component that is part of the complex that catalyzes transfer of N-acetylglucosamine (GlcNAc) from UDP-GlcNAc to phosphatidylinositol (PI). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2012]","                                            PIGQ (Phosphatidylinositol Glycan Anchor Biosynthesis Class Q) is a Protein Coding gene.                                            Diseases associated with PIGQ include Epileptic Encephalopathy, Early Infantile, 77 and 3-Methylglutaconic Aciduria, Type Iii.                                            Among its related pathways are Glycosylphosphatidylinositol (GPI)-anchor biosynthesis and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include phosphatidylinositol N-acetylglucosaminyltransferase activity.                                            ","Part of the complex catalyzing the transfer of N-acetylglucosamine from UDP-N-acetylglucosamine to phosphatidylinositol, the first step of GPI biosynthesis.
                         PIGQ_HUMAN,Q9BRB3
                         ","Mon Dec 07 10:21:51 2020",0,1.19,0.69,0,0.37,0,0.27,0,0,0,0,0,0,0,0.39,0,0.22,0,0.07,0.49,0.28,0.12,0.42,-0.16,FALSE
