"searchedTranscript","gene","EnsemblID","EntrezSummary","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000206765","TGM1","ENSG00000092295","The protein encoded by this gene is a membrane protein that catalyzes the addition of an alkyl group from an akylamine to a glutamine residue of a protein, forming an alkylglutamine in the protein. This protein alkylation leads to crosslinking of proteins and catenation of polyamines to proteins. This gene contains either one or two copies of a 22 nt repeat unit in its 3' UTR. Mutations in this gene have been associated with autosomal recessive lamellar ichthyosis (LI) and nonbullous congenital ichthyosiform erythroderma (NCIE). [provided by RefSeq, Jul 2008]",0.36,0.63,0.63,1.12,0.42,0.35,0.22,0.35,0,0.46,0.14,0.28,0.25,0.09,0.07,0.12,0.26,0.21,0.07,0.27,0.45,0.17,0.39,-0.28
"ENST00000228264","DDX11","ENSG00000013573","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12
"ENST00000228264","DDX11","ENSG00000013573","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12
"ENST00000228264","DDX11","ENSG00000013573","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12
"ENST00000228264","DDX11","ENSG00000013573","DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure such as translation initiation, nuclear and mitochondrial splicing, and ribosome and spliceosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an enzyme that possesses both ATPase and DNA helicase activities. This gene is a homolog of the yeast CHL1 gene, and may function to maintain chromosome transmission fidelity and genome stability. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]",0,0,1.12,0,0,0.25,0.5,0,0.08,0.64,0,0,0,0.08,0,0,0.59,0.26,0,0,0.22,0.09,0.43,-0.12
"ENST00000228468","ASIC1","ENSG00000110881","This gene encodes a member of the acid-sensing ion channel (ASIC) family of proteins, which are part of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. Members of the ASIC family are sensitive to amiloride and function in neurotransmission. The encoded proteins function in learning, pain transduction, touch sensation, and development of memory and fear. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]",0.14,0.07,0.21,0,0.42,0.19,0.52,0,0.7,0.28,0,0.07,0.06,0.14,0,0.32,0.09,0.07,0.25,0,0.25,0.1,0.41,-0.15
"ENST00000228468","ASIC1","ENSG00000110881","This gene encodes a member of the acid-sensing ion channel (ASIC) family of proteins, which are part of the degenerin/epithelial sodium channel (DEG/ENaC) superfamily. Members of the ASIC family are sensitive to amiloride and function in neurotransmission. The encoded proteins function in learning, pain transduction, touch sensation, and development of memory and fear. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]",0.14,0.07,0.21,0,0.42,0.19,0.52,0,0.7,0.28,0,0.07,0.06,0.14,0,0.32,0.09,0.07,0.25,0,0.25,0.1,0.41,-0.15
"ENST00000261172","EPYC","ENSG00000083782","Dermatan sulfate proteoglycan 3 is a member of the small leucine-rich repeat proteoglycan family. This gene is composed of seven exons. It regulates fibrillogenesis by interacting with collagen fibrils and other extracellular matrix proteins. [provided by RefSeq, Jul 2008]",0.19,0,0.92,0,0.37,0.71,0.2,0.39,0.65,0.26,0.15,0.15,0.08,0.61,0.2,0.21,0,0,0,0.32,0.38,0.17,0.45,-0.21
"ENST00000293373","NCKAP1L","ENSG00000123338","This gene encodes a member of the HEM family of tissue-specific transmembrane proteins which are highly conserved from invertebrates through mammals. This gene is only expressed in hematopoietic cells. The encoded protein is a part of the Scar/WAVE complex which plays an important role in regulating cell shape in both metazoans and plants. Alternatively spliced transcript variants encoding different isoforms have been found.[provided by RefSeq, May 2010]",0.54,0,0,1.11,0,0.47,1.11,0.44,0.37,0.13,0.18,0,0.09,0.35,0,0.6,0.34,0.1,0.09,0.32,0.45,0.21,0.46,-0.24
"ENST00000293874","PIGQ","ENSG00000007541","This gene is involved in the first step in glycosylphosphatidylinositol (GPI)-anchor biosynthesis. The GPI-anchor is a glycolipid found on many blood cells and serves to anchor proteins to the cell surface. This gene encodes a N-acetylglucosaminyl transferase component that is part of the complex that catalyzes transfer of N-acetylglucosamine (GlcNAc) from UDP-GlcNAc to phosphatidylinositol (PI). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2012]",0,1.19,0.69,0,0.37,0,0.27,0,0,0,0,0,0,0,0.39,0,0.22,0,0.07,0.49,0.28,0.12,0.42,-0.16
